,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
49,0.492,0.332,-9.282,0.0334,0.00106,0.134,125.722,0.208,0,1,5,3X003bO0MMxXEsJJxidiig
50,0.526,0.365,-12.605,0.028,1.35e-05,0.253,131.253,0.0775,1,1,4,6eBK3edMW7bEzecF1eCezc
51,0.339,0.881,-6.524,0.0668,4.83e-05,0.59,126.367,3.04e-05,7,1,4,2pAm0eho3UtxAK1bsRuOK7
52,0.461,0.267,-8.514,0.0278,2.03e-05,0.481,87.918,0.834,0,1,4,2MWOqewf5j0qf2b6S5J6cS
53,0.41,0.0485,-13.918,0.038,0,0.247,137.97,0.947,0,1,4,6yIHGmQLJxWAUZ1ZkENemN
54,0.315,0.356,-11.131,0.0407,1.67e-06,0.491,181.588,0.762,0,0,4,7j1ABZOylWUPUIZTt5x6AL
55,0.472,0.296,-12.123,0.0248,0.95,0.706,81.827,0.973,7,1,4,3baBQrWBX71zjKXVtVkvN6
56,0.655,0.877,-5.656,0.0329,0,0.958,144.877,0.22,9,1,4,42loEE51UDcecom9K8K4ei
57,0.396,0.338,-10.872,0.0304,2.62e-06,0.377,133.522,0.198,0,1,4,0pNeVovbiZHkulpGeOx1Gj
58,0.29,0.247,-12.125,0.0383,0.00565,0.36,165.361,0.921,7,1,4,2B4Y9u4ERAFiMo13XPJyGP
59,0.288,0.371,-8.001,0.0386,0,0.197,52.572,0.666,11,1,4,6TbDpqKCksZNJjriFhPum8
60,0.553,0.383,-6.161,0.0245,0,0.265,75.987,0.383,0,1,4,0lUdYoSr8Hm3GL0HZld4ac
61,0.466,0.389,-12.825,0.0253,0.843,0.749,92.631,0.631,5,1,4,2kKL5kk4On8YRSKWDgXWMX
62,0.432,0.35,-9.852,0.0266,0.000847,0.263,73.411,0.672,0,0,4,74D87XkpPozTefTJaGs1oH
63,0.583,0.833,-8.29,0.0343,5.57e-05,0.81,119.884,0.0531,0,1,4,0B1zVsLqmV9ibIFdNS5tGs
64,0.372,0.138,-15.212,0.0323,0.785,0.151,74.88,0.721,0,1,4,3IQyHILT5sNcFwlyPr7Gsb
65,0.692,0.651,-8.267,0.0324,0.00241,0.706,97.923,0.292,9,1,4,0bRXwKfigvpKZUurwqAlEh
66,0.652,0.749,-5.248,0.0886,0,0.651,94.103,0.0848,0,1,4,1z6WtY7X4HQJvzxC4UgkSf
67,0.572,0.485,-7.337,0.0362,0,0.257,81.019,0.596,8,1,4,5FypLOLmX3qpjiZq8eUTTV
68,0.348,0.532,-5.882,0.0331,0,0.148,129.297,0.592,10,1,4,1RS3LStQYhju50eBdD9Uul
69,0.674,0.676,-6.878,0.0367,3.13e-05,0.919,78.99,0.43,2,1,4,2kFHjWko1il6O9L3eK9IzG
70,0.654,0.515,-12.185,0.0261,5.62e-06,0.677,106.191,0.429,0,1,4,4kSKacywUJHdhyst4PL6pl
71,0.568,0.631,-5.623,0.0273,0,0.23,105.096,0.033,7,1,4,3ogtSrlbtiTamktbA0hw0E
72,0.621,0.82,-4.865,0.0367,0,0.452,144.905,0.332,10,1,4,22PMfvdz35fFKYnJyMn077
73,0.526,0.749,-6.964,0.0283,1.76e-06,0.421,99.982,0.023,3,1,4,754kgU5rWscRTfvlsuEwFp
74,0.422,0.264,-7.064,0.0322,0,0.331,119.93,0.922,8,1,4,3U4isOIWM3VvDubwSI3y7a
75,0.461,0.275,-12.331,0.0259,0.000219,0.124,93.126,0.745,10,1,4,0rt0dZ11FVsvprbarag5tk
76,0.703,0.444,-9.331,0.0417,0,0.712,150.96,0.559,11,1,4,3S0OXQeoh0w6AY8WQVckRW
77,0.787,0.92,-5.328,0.0914,9.82e-06,0.661,117.565,0.246,0,1,4,2qjWA8QruRCkoFZUQJR4SQ
78,0.654,0.81,-6.26,0.0288,0.00251,0.661,114.623,0.00719,4,0,4,2MLHyLy5z5l5YRp7momlgw
79,0.557,0.54,-10.484,0.0347,0.00248,0.394,129.171,0.0339,9,1,4,6dGnYIeXmHdcikdzNNDMm2
80,0.758,0.612,-11.403,0.0598,0.00288,0.822,106.945,0.281,0,1,4,0B9x2BRHqj3Qer7biM3pU3
81,0.523,0.689,-6.58,0.027,0,0.547,84.09,0.228,10,1,4,0PCGfA36HrVPmsBZJ57zOU
82,0.572,0.214,-15.625,0.0293,0.129,0.485,95.542,0.649,7,1,4,6zC0mpGYwbNTpk9SKwh08f
83,0.78,0.524,-12.072,0.0321,6.47e-05,0.953,124.181,0.668,2,1,4,3joeQA8GGsVOf2lfgsGAtq
84,0.619,0.603,-9.481,0.0342,0,0.958,127.433,0.712,9,1,4,48i055G1OT5KxGGftwFxWy
85,0.572,0.418,-10.738,0.0349,0,0.694,104.566,0.635,0,1,4,745H5CctFr12Mo7cqa1BMH
86,0.361,0.219,-16.553,0.0285,0,0.26,98.532,0.563,0,1,3,1jFhnVoJkcB4lf9tT0rSZS
87,0.396,0.293,-14.062,0.0275,0.000196,0.343,100.307,0.941,2,1,3,44AyOl4qVkzS48vBsbNXaC
88,0.781,0.445,-6.061,0.0295,0,0.591,78.998,0.474,2,1,4,34gCuhDGsG4bRPIf9bb02f
89,0.599,0.448,-6.312,0.0232,0,0.168,95.05,0.163,8,1,3,0tgVpDi06FyKpA1z0VMD4v
90,0.643,0.344,-11.342,0.0349,0.0112,0.547,144.171,0.909,2,1,4,3QmesrvdbPjwf7i40nht1D
91,0.278,0.101,-18.723,0.0373,1.14e-06,0.222,88.601,0.883,4,1,1,1jlCTXvGEQpPuumICdSKzw
92,0.826,0.329,-10.015,0.0765,0.000878,0.558,106.935,0.17,2,1,4,3hfRucio8TtptNiHFmBCOq
93,0.21,0.58,-7.766,0.0307,0.00827,0.313,175.769,0.00576,5,1,4,2QB8FwOszur18Ai7t2XnNi
94,0.727,0.338,-13.887,0.0454,0,0.646,122.421,0.79,5,1,4,0ESIjVxnDnCDaTPo6sStHm
95,0.431,0.377,-9.753,0.0288,0,0.353,173.67,0.749,2,1,4,7cpCU3Denug5NGZsSpQl8v
96,0.631,0.387,-11.529,0.0262,0.000406,0.832,103.11,0.742,5,1,4,09x9v1o51dbqi5H0u7UGfp
97,0.424,0.537,-6.082,0.0273,0.000164,0.234,93.891,0.693,11,1,3,05mQeUMvbi0UVWSUpy3xix
98,0.359,0.543,-7.582,0.0919,1.58e-05,0.453,68.534,0.492,7,1,4,1dGr1c8CrMLDpV6mPbImSI
99,0.609,0.295,-14.933,0.0328,1.86e-06,0.279,108.976,0.176,7,1,4,4PINSJIlBWsnVeveicq1S8
0,0.443,0.0521,-22.964,0.0492,0.963,0.187,106.759,0.992,10,1,4,06naL4CQq3FfhsutfV4rCd
1,0.0921,0.0183,-31.858,0.0513,0.94,0.039,166.979,0.942,7,1,3,0Seumg0NAq7KS1r0Yso52H
2,0.429,0.0472,-27.076,0.087,0.945,0.156,73.629,0.995,11,1,3,0OzWMv5ZuMszZVwYUNL9j6
3,0.238,0.00484,-31.76,0.0393,0.95,0.0394,70.821,0.995,8,1,3,1NechTDnTtSaciAT6gmvJQ
4,0.0791,0.0572,-29.864,0.0494,0.871,0.0386,174.381,0.89,7,1,5,5JUZN3APQOGsw7LJZYEjmU
5,0.406,0.00921,-31.822,0.087,0.906,0.303,80.507,0.984,2,1,4,2Imxyb3LiuXsDFo7Gq5YDs
6,0.227,0.00482,-36.351,0.036,0.912,0.0731,70.684,0.993,8,1,5,2EAgTVB2EdsMdqaqOk062L
7,0.207,0.00805,-36.38,0.0366,0.909,0.103,70.736,0.995,9,1,3,2u89h3u1Q9DGFSGkOEmGga
8,0.439,0.0251,-29.029,0.0381,0.921,0.215,68.171,0.994,4,1,4,0rTWmhqlac0DNHc5xXk1SW
9,0.213,0.0868,-27.444,0.0413,0.907,0.44,138.349,0.952,10,1,4,6sLr7HzQe2xQVhBmhrT3vU
10,0.269,0.00229,-39.158,0.0372,0.868,0.0882,69.659,0.986,1,1,3,4ExtqIKNZLLmatRTVzlzFu
11,0.371,0.0247,-26.056,0.055,0.886,0.0389,141.248,0.993,1,1,3,4Xx0WuuxGuknJdJhRokO8D
12,0.183,0.0075,-33.087,0.0395,0.59,0.127,66.333,0.974,0,1,4,0EKPj41uhOc0r0UjkKbjsm
13,0.28,0.154,-25.846,0.0439,0.927,0.266,79.995,0.989,0,1,4,79TcGoLB19MBED0O2YZLtn
14,0.111,0.0508,-26.315,0.0464,0.034,0.0796,91.1,0.962,10,1,4,1A6YUwRiZoVY5lDGZ6JvK4
15,0.441,0.00957,-26.839,0.0308,0.884,0.373,75.403,0.987,7,1,4,5gbZe9oyXXQDMLXFGsR4YC
16,0.5,0.0104,-26.764,0.0622,0.949,0.133,114.76,0.996,2,1,4,4ksxLnn1ymLGRKnwhba45Y
17,0.327,0.00319,-32.189,0.0355,0.92,0.0749,65.782,0.994,3,1,4,11MJZb67EZgtwAeXLbHyft
18,0.163,0.0366,-27.021,0.0451,0.912,0.17,84.642,0.98,7,1,3,5s8B58Hj2GlkAoo5V658bU
19,0.169,0.0161,-31.034,0.0442,0.86,0.0573,128.143,0.986,9,0,3,0jOnZhF75V68VsBObWx2XO
20,0.412,0.0145,-30.382,0.0481,0.936,0.147,133.196,0.995,8,1,4,5xfujtIVvNc4ieq441J8NJ
21,0.435,0.00889,-33.986,0.046,0.941,0.29,110.307,0.992,7,1,3,7rcUjAbjRTbatpdYH5rEmx
22,0.165,0.0247,-23.367,0.0446,0.672,0.071,99.206,0.984,2,1,3,70h1nYoPh4869FrsT9IILv
23,0.299,0.00626,-30.923,0.0478,0.901,0.0634,69.043,0.994,9,1,4,1Oo7XEqkrwifJn17aA0ocF
24,0.306,0.00253,-42.185,0.0401,0.92,0.129,95.425,0.982,1,1,5,2iHfxxA58scvsi5P0L1B4i
25,0.196,0.0496,-24.536,0.0415,0.933,0.0365,81.582,0.99,6,0,3,1DsqYVJjTCfYmxOnlDPQPr
26,0.406,0.00645,-32.739,0.0453,0.935,0.111,59.156,0.994,7,0,4,6jZj45D2jdR6fMEb58TlSc
27,0.342,0.00369,-32.61,0.0509,0.918,0.179,62.464,0.994,7,1,4,7MjEk3ha3TdVVfeYryOIAq
28,0.296,0.00896,-31.948,0.0394,0.91,0.0673,69.432,0.994,7,0,3,3YJrnXT1UNpRgnc7lcgXSF
29,0.253,0.0272,-31.271,0.0431,0.916,0.125,68.211,0.993,5,1,4,0dfAHJmRg7JtCbitsageQG
30,0.368,0.00363,-36.759,0.035,0.922,0.085,69.363,0.993,1,1,3,1L4NadMj3Jj7YgGaikyhfr
31,0.138,0.0337,-27.266,0.0476,0.974,0.181,72.134,0.989,2,1,4,0P7UwPB9vL74bD6gzYaKIu
32,0.293,0.0677,-24.559,0.0472,0.945,0.0994,122.828,0.981,3,1,5,7uGumfAbZ4lROA6wr0LP5E
33,0.232,0.0117,-33.034,0.0395,0.918,0.0739,168.106,0.976,7,1,5,0UCnqGnJpwvgEwzUMoVcaQ
34,0.179,0.0431,-23.664,0.0465,0.856,0.0381,85.303,0.987,0,0,1,7pN1FnWdKOx3GAciqfVVf7
35,0.168,0.0613,-24.987,0.0481,0.246,0.0399,102.674,0.974,4,0,4,56uWqDzSqIMbdi3ItnG481
36,0.377,0.0105,-32.994,0.0426,0.895,0.0996,76.055,0.994,6,1,3,3vSOD8Ng5m8eLH4EhoJcTL
37,0.268,0.0782,-29.935,0.0415,0.828,0.364,131.812,0.993,7,1,4,6omFR3t3gc8xuIVI8DyRuI
38,0.328,0.00278,-38.801,0.0566,0.868,0.194,75.387,0.995,10,1,1,76wV53YHl0tGEvT3L0QzvK
39,0.229,0.0412,-26.158,0.0467,0.469,0.0713,109.947,0.965,3,1,3,2njjANJvIaOCyIy9OisgqS
40,0.326,0.00502,-28.664,0.0383,0.925,0.0921,69.405,0.993,11,1,3,7azbxrt9Wi0ra1qFfcCUOR
41,0.273,0.00735,-32.622,0.0375,0.936,0.076,82.504,0.991,9,1,3,5fVw7TjMRqG183RyPIUoba
42,0.176,0.0416,-26.636,0.0402,0.958,0.074,86.704,0.968,4,1,4,6kielg9pAlREPv4fnFaT91
