,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
73,0.561,0.0848,-15.099,0.0404,2.62e-05,0.206,102.128,0.913,2,1,4
74,0.745,0.543,-8.137,0.0396,0.0,0.242,139.964,0.22,7,1,4
75,0.364,0.512,-9.122,0.106,0.0,0.134,118.392,0.0337,11,0,4
76,0.656,0.584,-8.959,0.0524,5.51e-05,0.445,119.871,0.544,5,0,4
77,0.348,0.381,-7.688,0.0552,0.0,0.494,84.896,0.204,11,1,3
78,0.572,0.406,-8.624,0.0427,4.48e-06,0.265,119.812,0.587,10,1,4
79,0.422,0.34,-6.577,0.0351,1.77e-05,0.223,77.213,0.877,0,1,4
80,0.587,0.229,-11.254,0.128,0.0,0.379,75.67,0.92,10,0,4
81,0.515,0.387,-10.614,0.192,0.0,0.408,86.313,0.757,7,1,3
82,0.503,0.358,-8.158,0.0537,0.0,0.179,105.121,0.401,7,1,4
83,0.519,0.638,-4.112,0.0405,0.0,0.531,155.988,0.408,1,1,4
84,0.62,0.468,-7.492,0.04,0.0,0.646,149.855,0.619,0,1,4
85,0.422,0.235,-12.379,0.0568,0.00648,0.068,165.71,0.826,6,1,4
86,0.529,0.591,-4.223,0.034,0.0,0.27,97.742,0.599,0,1,4
87,0.436,0.255,-8.623,0.0364,3.28e-05,0.15,113.265,0.955,3,1,4
88,0.626,0.535,-4.901,0.0289,1.76e-06,0.358,143.851,0.71,9,0,3
89,0.6,0.389,-5.727,0.0337,0.0,0.244,143.577,0.566,9,1,4
90,0.402,0.151,-14.228,0.04,0.0,0.489,144.071,0.907,4,0,4
91,0.641,0.68,-5.855,0.288,1.32e-05,0.482,149.757,0.778,4,1,3
92,0.544,0.629,-7.8,0.171,0.000203,0.453,90.327,0.742,3,1,4
93,0.629,0.429,-6.755,0.0379,3.47e-05,0.161,141.885,0.359,7,1,4
94,0.464,0.331,-6.336,0.0294,0.0,0.513,77.307,0.794,0,1,4
95,0.661,0.517,-7.74,0.0406,0.0,0.241,84.014,0.223,5,1,4
96,0.499,0.447,-5.083,0.0367,0.0,0.53,75.068,0.706,5,1,4
97,0.312,0.229,-11.656,0.0327,0.0,0.239,132.493,0.931,2,1,3
98,0.395,0.309,-8.919,0.033,2.17e-05,0.0673,142.012,0.637,1,1,3
99,0.779,0.604,-8.039,0.0403,0.0,0.404,120.017,0.556,1,0,4
100,0.364,0.294,-6.578,0.0504,0.0,0.125,79.477,0.833,0,0,3
101,0.713,0.451,-4.693,0.0406,0.0,0.316,117.018,0.186,5,1,4
102,0.534,0.493,-6.818,0.0316,0.0,0.232,79.97,0.286,0,1,4
103,0.614,0.526,-7.492,0.0603,0.0,0.366,177.913,0.468,5,1,4
104,0.51,0.202,-13.051,0.0477,1.59e-06,0.139,104.967,0.883,0,1,4
105,0.287,0.364,-8.295,0.0306,1.8e-05,0.11,103.777,0.418,9,1,4
106,0.449,0.376,-8.381,0.0753,0.0,0.281,149.514,0.604,1,1,4
107,0.471,0.335,-8.767,0.0273,2.11e-05,0.111,145.252,0.593,4,0,3
108,0.646,0.222,-7.849,0.0341,0.0,0.559,127.716,0.853,0,1,5
109,0.637,0.513,-6.797,0.0367,0.0,0.234,141.907,0.518,1,1,4
110,0.601,0.264,-9.559,0.0573,4.86e-05,0.285,149.926,0.401,2,1,4
111,0.765,0.435,-6.224,0.0381,0.0,0.562,109.969,0.715,8,1,3
112,0.579,0.454,-7.264,0.0427,0.0,0.461,78.949,0.465,9,1,4
113,0.333,0.538,-8.653,0.0325,0.0,0.63,149.377,0.557,4,1,4
114,0.508,0.378,-7.158,0.0473,0.0,0.161,144.962,0.516,7,1,4
115,0.67,0.693,-5.682,0.183,0.0,0.26,109.66,0.152,7,1,4
116,0.488,0.103,-12.009,0.0522,0.0,0.326,120.141,0.933,1,1,4
117,0.483,0.321,-10.401,0.0719,0.000107,0.148,141.28,0.82,10,0,3
118,0.426,0.523,-5.244,0.0359,0.0,0.482,81.979,0.568,5,0,4
119,0.34,0.684,-6.306,0.044,0.0,0.556,112.969,0.00979,11,1,4
120,0.444,0.669,-6.727,0.125,0.0,0.44,183.441,0.0669,8,0,4
121,0.497,0.309,-6.673,0.0275,8.02e-06,0.171,87.794,0.79,7,1,3
122,0.502,0.416,-9.504,0.433,0.0,0.433,175.191,0.912,7,1,3
123,0.441,0.508,-5.662,0.0347,0.000168,0.19,75.194,0.879,11,1,4
124,0.675,0.568,-5.05,0.11,1.9e-06,0.551,82.007,0.211,5,0,3
125,0.412,0.382,-7.023,0.0497,0.0,0.318,81.493,0.59,2,0,3
126,0.483,0.00998,-30.285,0.0437,0.000329,0.0788,119.955,0.949,9,1,4
127,0.456,0.615,-5.454,0.0529,0.0,0.416,78.461,0.614,1,1,4
128,0.501,0.348,-11.938,0.0579,2.18e-06,0.276,83.527,0.501,1,1,4
129,0.53,0.593,-7.286,0.0545,0.0,0.538,125.723,0.385,5,1,4
130,0.648,0.501,-8.262,0.0399,8.13e-05,0.656,155.04,0.319,2,1,4
131,0.594,0.448,-8.179,0.0476,0.0,0.208,135.954,0.657,9,1,4
132,0.37,0.559,-5.589,0.0526,0.0,0.316,162.816,0.186,0,1,4
133,0.611,0.582,-6.181,0.0642,0.0,0.274,89.971,0.192,8,0,4
134,0.672,0.59,-5.179,0.0369,0.0,0.211,81.002,0.368,4,1,4
135,0.598,0.295,-8.553,0.0276,0.0,0.314,87.025,0.735,1,1,4
136,0.628,0.298,-9.539,0.0713,0.0,0.166,63.762,0.732,11,1,4
137,0.504,0.203,-11.97,0.0569,0.0,0.274,128.773,0.652,11,1,4
138,0.689,0.143,-17.374,0.264,0.0,0.528,85.398,0.97,6,1,4
139,0.454,0.419,-9.184,0.0352,0.0,0.224,76.925,0.179,7,1,4
140,0.569,0.271,-10.969,0.0271,0.0,0.352,91.888,0.886,10,1,4
141,0.599,0.416,-7.017,0.0398,0.0,0.29,86.281,0.592,4,1,4
142,0.686,0.565,-5.486,0.0299,0.00011,0.496,110.507,0.635,10,1,4
