,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
73,0.795,0.574,-8.202,0.0474,0.00789,0.318,118.989,0.0313,5,0,4
74,0.697,0.751,-8.253,0.0943,0.00291,0.305,111.985,0.343,5,0,4
75,0.526,0.162,-14.679,0.0417,0.811,0.0991,117.003,0.858,9,0,4
76,0.757,0.654,-6.591,0.0332,0.000161,0.145,124.015,0.392,1,0,4
77,0.746,0.468,-12.874,0.0407,0.811,0.57,105.02,0.875,6,0,4
78,0.822,0.691,-3.672,0.0818,0.899,0.41,107.034,0.75,6,0,4
79,0.665,0.302,-16.312,0.101,0.762,0.0758,105.004,0.555,2,1,4
80,0.689,0.514,-12.803,0.0383,0.449,0.0963,121.985,0.512,11,1,4
81,0.606,0.767,-9.676,0.0371,0.0698,0.325,124.108,0.217,2,1,4
82,0.707,0.541,-12.621,0.0421,0.395,0.0338,120.01,0.512,0,0,4
83,0.719,0.643,-7.984,0.127,0.000717,0.397,89.974,0.637,6,0,4
84,0.69,0.367,-10.333,0.0531,0.00592,0.179,107.025,0.619,0,1,4
85,0.409,0.475,-13.712,0.0379,0.44,0.129,180.015,0.818,2,1,4
86,0.696,0.565,-8.084,0.0933,1.62e-05,0.287,93.041,0.613,6,0,4
87,0.827,0.573,-11.172,0.141,0.00172,0.655,122.031,0.00983,3,1,4
88,0.735,0.544,-10.687,0.229,0.193,0.251,120.958,0.774,8,1,4
89,0.709,0.75,-7.067,0.137,0.113,0.219,131.024,0.0792,9,0,4
90,0.776,0.566,-10.885,0.0746,0.885,0.215,120.032,0.0886,2,0,4
91,0.761,0.492,-6.655,0.11,0.0116,0.468,118.019,0.554,11,0,4
92,0.692,0.712,-8.396,0.0925,0.00565,0.255,115.968,0.346,4,0,4
93,0.591,0.596,-8.798,0.0481,0.0627,0.166,109.973,0.535,0,1,4
94,0.81,0.407,-12.459,0.18,0.861,0.204,120.086,0.774,9,1,4
95,0.602,0.556,-14.068,0.213,0.0526,0.0668,123.958,0.85,7,0,4
96,0.728,0.291,-13.366,0.0411,0.765,0.0573,115.008,0.752,2,1,4
97,0.812,0.432,-9.119,0.0384,0.493,0.629,89.0,0.782,11,0,4
98,0.66,0.795,-6.677,0.0352,0.225,0.241,124.026,0.00231,1,1,4
99,0.799,0.415,-12.865,0.144,0.217,0.0398,114.025,0.667,3,1,4
100,0.608,0.346,-12.613,0.0498,0.473,0.0646,89.992,0.678,7,0,4
101,0.74,0.524,-10.056,0.0506,0.0297,0.187,110.046,0.522,5,0,4
102,0.611,0.677,-9.257,0.0347,0.26,0.112,120.028,0.0616,2,1,3
103,0.884,0.581,-8.813,0.0378,0.000206,0.728,114.016,0.427,11,1,4
104,0.736,0.454,-8.367,0.0337,0.000865,0.321,115.972,0.603,8,0,4
105,0.501,0.437,-14.806,0.188,0.844,0.18,84.011,0.694,7,1,4
106,0.791,0.387,-9.6,0.159,0.000109,0.528,117.05,0.482,0,1,4
107,0.873,0.489,-10.008,0.251,0.0284,0.208,115.038,0.719,0,1,4
108,0.788,0.798,-9.79,0.0641,0.776,0.0382,105.002,0.0856,7,1,4
109,0.607,0.539,-9.035,0.211,0.667,0.17,120.06,0.0793,1,1,4
110,0.668,0.683,-5.936,0.154,3.76e-05,0.324,102.027,0.259,9,0,4
111,0.688,0.633,-11.4,0.0601,0.586,0.0918,115.99,0.794,1,0,4
112,0.758,0.58,-9.292,0.151,0.00714,0.0636,115.0,0.684,10,1,4
113,0.683,0.758,-7.29,0.163,0.0,0.686,95.956,0.284,7,1,4
114,0.75,0.441,-11.009,0.038,0.0126,0.195,110.012,0.705,9,0,4
115,0.671,0.444,-9.584,0.167,0.108,0.493,102.109,0.677,3,0,4
116,0.682,0.585,-8.971,0.0854,0.0236,0.318,117.098,0.512,5,0,4
117,0.661,0.614,-11.363,0.19,0.0959,0.186,120.11,0.481,7,1,4
118,0.702,0.592,-10.484,0.0506,0.658,0.0431,114.972,0.534,10,0,4
119,0.439,0.78,-4.678,0.0645,0.607,0.431,119.765,0.46,0,0,4
120,0.577,0.478,-10.046,0.114,0.000208,0.0763,120.016,0.789,7,1,4
121,0.697,0.807,-6.657,0.0387,0.0609,0.189,123.999,0.183,9,0,4
122,0.697,0.535,-8.516,0.0293,0.153,0.232,112.1,0.289,4,0,4
123,0.657,0.787,-8.195,0.044,0.000715,0.0357,119.994,0.0459,8,1,4
124,0.859,0.794,-8.275,0.2,0.414,0.505,115.993,0.771,8,0,4
125,0.664,0.824,-7.72,0.0643,0.00578,0.197,98.988,0.483,8,1,4
126,0.646,0.408,-10.581,0.26,0.731,0.221,184.029,0.628,8,0,4
127,0.803,0.684,-10.081,0.0627,0.0722,0.563,112.985,0.68,8,1,4
128,0.711,0.737,-7.328,0.0399,0.27,0.326,121.02,0.0197,9,0,4
129,0.654,0.7,-7.095,0.186,0.152,0.0995,100.063,0.758,10,1,4
130,0.682,0.837,-7.889,0.0401,0.181,0.0355,120.006,0.139,6,1,4
131,0.48,0.528,-11.905,0.0866,0.00282,0.463,100.041,0.398,11,1,4
132,0.858,0.517,-11.374,0.0984,0.894,0.266,120.018,0.0192,6,1,4
133,0.625,0.838,-8.914,0.0392,0.926,0.0879,114.965,0.0052,11,1,4
134,0.622,0.546,-10.224,0.0602,0.000932,0.0584,115.985,0.696,0,1,4
135,0.535,0.548,-10.25,0.0316,0.922,0.0465,120.018,0.636,10,1,4
136,0.622,0.802,-6.272,0.0725,0.0,0.329,120.012,0.188,7,1,4
137,0.717,0.738,-9.932,0.0463,0.569,0.0371,115.987,0.315,2,1,4
138,0.733,0.488,-12.761,0.11,0.28,0.253,119.998,0.838,1,1,4
139,0.867,0.521,-10.22,0.0732,4.24e-05,0.336,121.949,0.111,10,0,4
140,0.661,0.409,-15.182,0.0442,0.821,0.266,114.049,0.899,10,1,4
141,0.586,0.811,-12.527,0.0364,0.631,0.0383,122.014,0.0666,8,1,4
142,0.567,0.639,-8.698,0.0848,0.889,0.25,188.047,0.433,7,1,3
143,0.746,0.584,-12.131,0.446,0.00194,0.278,117.147,0.549,7,1,4
144,0.734,0.534,-9.175,0.0732,0.197,0.396,120.016,0.412,11,1,4
145,0.816,0.682,-7.46,0.0556,0.257,0.484,119.983,0.00834,2,1,4
146,0.635,0.394,-12.156,0.199,0.0126,0.0756,120.015,0.834,2,1,4
147,0.75,0.565,-10.745,0.0373,0.113,0.2,114.001,0.266,5,1,4
148,0.739,0.494,-11.595,0.113,2.4e-05,0.505,120.069,0.219,6,1,4
149,0.788,0.711,-9.564,0.0694,2.1e-06,0.13,113.048,0.244,11,1,4
150,0.768,0.698,-7.58,0.337,5.06e-06,0.732,120.0,0.113,7,1,4
151,0.717,0.798,-6.01,0.0471,3.16e-06,0.735,115.938,0.029,6,1,4
152,0.7,0.705,-6.026,0.0414,0.0343,0.521,99.97,0.148,5,1,4
153,0.737,0.469,-8.49,0.19,1.44e-06,0.503,109.844,0.507,6,1,4
154,0.662,0.703,-7.525,0.0998,6.38e-05,0.605,100.001,0.183,10,0,4
155,0.898,0.564,-9.207,0.121,0.00553,0.435,117.992,0.463,9,1,4
156,0.731,0.532,-11.679,0.052,0.225,0.065,117.995,0.487,8,0,4
157,0.646,0.681,-7.526,0.381,0.00709,0.27,122.023,0.357,10,1,4
