,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
48,0.763,0.782,-4.541,0.0346,7.08e-06,0.502,127.034,0.182,7,0,4,3sa06xVNmLLYIxdNNmVQN8
49,0.57,0.756,-3.394,0.0257,0.0,0.72,91.972,0.0497,5,1,4,5FQ77Cl1ndljtwwImdtjMy
50,0.787,0.833,-4.403,0.0478,0.00747,0.796,123.97,0.018,8,1,4,6Dy1jexKYriXAVG6evyUTJ
51,0.667,0.75,-4.602,0.0906,0.000198,0.486,126.041,0.0746,0,1,4,72yP0DUlWPyH8P7IoxskwN
52,0.824,0.587,-6.401,0.0937,0.000105,0.514,98.029,0.69,6,0,4,2N8m6CYs74qQO4mjVcXO30
53,0.798,0.675,-5.041,0.0442,0.0,0.842,101.956,0.0912,6,1,4,3HVWdVOQ0ZA45FuZGSfvns
54,0.693,0.678,-7.159,0.0324,5.71e-06,0.404,103.952,0.0151,8,1,4,6oJ6le65B3SEqPwMRNXWjY
55,0.774,0.792,-4.021,0.0523,0.0,0.507,122.062,0.051,10,1,4,3eJH2nAjvNXdmPfBkALiPZ
56,0.794,0.793,-4.521,0.0842,0.0,0.677,123.941,0.0125,11,0,4,6WrI0LAC5M1Rw2MnX2ZvEg
57,0.744,0.621,-7.931,0.242,0.00119,0.701,128.105,0.216,5,1,4,44MuEHdlociG8KjhPhOVw5
58,0.701,0.88,-4.56,0.0358,7.33e-06,0.623,124.039,0.182,10,0,4,4q05KbxYZ5JdkmrletgPjF
59,0.72,0.715,-4.652,0.04,0.0568,0.357,107.041,0.258,11,1,4,5LYMamLv12UPbemOaTPyeV
60,0.836,0.743,-6.305,0.0656,0.0,0.722,108.966,0.0995,10,0,4,1PckUlxKqWQs3RlWXVBLw3
61,0.736,0.754,-5.457,0.0443,0.000599,0.648,128.046,0.033,4,1,4,3xY5aYJcdvZX9xQxNd02ku
62,0.745,0.694,-7.519,0.128,0.0,0.74,95.924,0.0962,8,1,4,4x2rgtSFOI4hRvEvDj02KP
63,0.614,0.934,-3.709,0.07,0.0,0.436,116.001,0.0697,9,0,4,1KixkQVDUHggZMU9dUobgm
64,0.789,0.711,-4.248,0.041,0.0,0.753,112.985,0.0332,2,1,4,59qrUpoplZxbIZxk6X0Bm3
65,0.664,0.316,-10.345,0.519,2.03e-06,0.541,92.875,0.298,5,1,4,43rA71bccXFGD4C8GOpIlN
66,0.717,0.671,-5.077,0.0337,2.54e-06,0.699,110.054,0.0018,0,0,4,6f5ExP43esnvdKPddwKXJH
67,0.659,0.615,-5.865,0.0644,0.0,0.193,119.843,0.27,11,0,4,4GSDkZt7GcmzBWmsMcpaVO
68,0.563,0.908,-4.25,0.0868,0.0,0.171,125.972,0.0696,4,0,4,14LdhxElpZS0rKVV4nxtdA
69,0.715,0.738,-4.42,0.0577,0.0,0.36,160.07,0.00199,2,1,4,1mFpMoeZfkIqtqW2AfQ8ba
70,0.612,0.862,-2.903,0.037,0.0,0.354,123.849,0.041,8,1,4,4laAKIq9ZxBCwf99rauPYb
71,0.595,0.784,-4.878,0.102,0.0,0.479,124.111,0.216,1,1,4,5K6Ssv4Z3zRvxt0P6EKUAP
72,0.815,0.518,-6.594,0.0897,0.0,0.877,151.891,0.223,7,0,4,1tNJrcVe6gwLEiZCtprs1u
73,0.568,0.824,-4.613,0.0299,0.0,0.753,108.625,0.403,9,1,4,5Ts1DYOuouQLgzTaisxWYh
74,0.669,0.832,-5.721,0.0682,0.0,0.7,113.035,0.0106,0,1,4,1WkMMavIMc4JZ8cfMmxHkI
75,0.399,0.491,-10.778,0.0538,0.00089,0.151,91.066,0.0563,6,0,4,6AGOKlMZWLCaEJGnaROtF9
76,0.776,0.808,-4.501,0.117,0.000127,0.494,123.988,0.0297,11,1,4,0z8hI3OPS8ADPWtoCjjLl6
77,0.585,0.519,-10.641,0.0858,0.000185,0.526,128.05,0.324,1,1,4,6ofFq0aQ8aXG73pjfFKwFv
78,0.731,0.626,-6.919,0.0805,0.0,0.862,82.488,0.125,11,1,4,1sx0XsWUusUoPstbvokZjP
79,0.748,0.841,-5.08,0.177,1.33e-06,0.717,123.045,0.00445,7,1,4,5pNFibJLq7dvoDVIIcQBkn
80,0.698,0.895,-4.439,0.0628,1.45e-05,0.838,114.914,0.172,0,1,4,3i0FkJYlU4MFfYkjFHXXAM
81,0.672,0.855,-3.764,0.0397,0.0,0.646,123.056,0.021,9,1,4,24ySl2hOPGCDcxBxFIqWBu
82,0.721,0.769,-4.111,0.105,0.0,0.915,155.932,0.0922,7,1,4,2rmwqU7yzTvzkiaRV53DpT
83,0.769,0.479,-5.339,0.0385,0.0,0.803,96.051,0.66,1,1,4,2Yer0p7uB2lVBUAtANuuQp
84,0.647,0.765,-6.459,0.06,0.0,0.855,79.994,0.111,1,1,4,58UKC45GPNTflCN6nwCUeF
85,0.575,0.571,-7.906,0.0439,0.0,0.449,105.049,0.0558,1,1,4,4NBTZtAt1F13VvlSKe6KTl
86,0.88,0.483,-7.012,0.0505,8.68e-06,0.827,124.009,0.0185,1,1,4,2MlOUXmcofMackX3bxfSwi
87,0.893,0.851,-5.342,0.0979,6.49e-05,0.959,110.002,0.145,3,0,4,6MZi5j60L80SZLBxN0bv8s
88,0.814,0.628,-7.178,0.221,0.0,0.677,123.977,0.167,7,1,4,7mFj0LlWtEJaEigguaWqYh
89,0.852,0.698,-7.206,0.0629,1.03e-06,0.324,113.039,0.00839,9,1,4,4wNIkl5XGiAACjFBlDWuSd
90,0.64,0.648,-8.113,0.187,0.0,0.548,92.977,0.124,5,0,4,4evmHXcjt3bTUHD1cvny97
91,0.681,0.657,-4.671,0.0432,0.0,0.628,130.089,0.0748,6,1,4,2Xnv3GntqbBH1juvUYSpHG
92,0.716,0.963,-3.097,0.0931,0.0,0.707,124.97,0.0344,0,0,4,2LCd6P35jFyZ9SN37o9D2q
93,0.682,0.72,-8.173,0.0381,0.0,0.673,117.003,0.326,11,0,4,2UbVnbE5FH6008mAm6Mmgw
94,0.507,0.828,-6.023,0.0449,2.44e-05,0.489,178.032,0.00711,10,1,4,0939D7aT18uBDS2MTjWzct
95,0.862,0.753,-5.356,0.0625,2.01e-06,0.827,105.039,0.131,5,1,4,7MC4XR9M9amdmKQr2iDF7i
96,0.677,0.766,-6.896,0.0568,6.81e-06,0.198,123.062,0.0219,6,1,4,51Of5p3lKZeOg6itfs4og4
97,0.737,0.747,-4.818,0.0323,0.0,0.447,105.943,0.269,10,1,4,1ZLrDPgR7mvuTco3rQK8Pk
98,0.673,0.704,-8.056,0.36,0.0,0.372,86.919,0.196,6,1,4,5u1n1kITHCxxp8twBcZxWy
99,0.708,0.598,-8.365,0.0291,0.0,0.698,112.027,0.037,5,1,4,7jvCeWOSnJs2N3spqobWnO
0,0.514,0.73,-5.934,0.0598,9.54e-05,0.334,171.005,0.00146,1,1,4,0VjIjW4GlUZAMYd2vXMi3b
1,0.561,0.965,-3.673,0.0343,7.07e-06,0.304,128.04,0.00383,7,0,4,4uUG5RXrOk84mYEfFvj3cK
2,0.704,0.797,-5.927,0.0475,0.000745,0.825,139.994,0.0826,0,1,4,4h9wh7iOZ0GGn8QVp4RAOB
3,0.726,0.698,-4.165,0.0431,0.0,0.867,143.994,0.049,5,1,4,3w3y8KPTfNeOKPiqUTakBh
4,0.792,0.625,-5.609,0.0536,0.0018,0.37,103.967,0.00776,1,1,4,1zi7xx7UVEFkmKfv06H8x0
5,0.486,0.617,-7.115,0.0287,3.23e-06,0.417,138.015,0.0954,5,0,4,1mea3bSkSGXuIRvnydlB5b
6,0.825,0.652,-3.183,0.0802,0.0,0.931,95.977,0.581,1,0,4,7qiZfU4dY1lWllzX7mPBI3
7,0.548,0.816,-4.209,0.0465,0.0,0.557,95.39,0.122,0,1,4,6UelLqGlWMcVH1E5c4H7lY
8,0.664,0.705,-4.972,0.0382,0.0,0.477,122.016,0.0654,1,0,4,2tpWsVSb9UEmDRxAl1zhX1
9,0.866,0.813,-4.063,0.0554,0.0,0.969,121.998,0.38,11,0,4,7JJmb5XwzOO8jgpou264Ml
